,item_group,bigram,loglike
0,10.4.10,"('than', '10.4.10')",9.599187857877359
1,10.4.10,"('10.4.10', 'was')",7.8620459322155405
2,10.4.10,"('with', '10.4.10')",6.773336392071659
3,19dbi panel antenna,"('this', '19dbi panel antenna')",47.756679671261274
4,19dbi panel antenna,"('19dbi panel antenna', 'is')",42.81867179501868
5,3d,"('3d', 'glasses')",208.23800163297452
6,3d,"('3d', 'modeling')",163.5275275362539
7,3d,"('3d', 'video')",148.65205464463708
8,3d,"('stereoscopic', '3d')",111.17838838879167
9,3d,"('3d', 'movies')",86.16472124295211
263,3d game,"('3d game', 'will')",11.71575859518179
264,3d game,"('of', '3d game')",8.414222380569262
265,3d program,"('old', '3d program')",23.764658235494892
266,3d program,"('3d program', 'available')",10.812096236169602
267,3d program,"('3d program', 'or')",6.5644698939623565
268,3d program,"('a', '3d program')",3.3064610335386355
269,3d program,"('the', '3d program')",2.3016610323448856
270,7-zip,"('like', '7-zip')",41.62025088906109
271,7-zip,"('include', '7-zip')",9.969154419955993
272,7-zip,"('7-zip', 'open')",8.569452506186114
273,7-zip,"('7-zip', 'even')",6.038451114723275
274,7-zip,"('7-zip', 'can')",4.042399690255636
280,aarp,"('aarp', ""'s"")",21.25601994910089
281,aarp,"('like', 'aarp')",9.01222379708207
282,aarp,"('on', 'aarp')",7.218890509331282
283,abbyy,"('like', 'abbyy')",11.779269257562524
284,ability,"('ability', 'to')",4530.718364568269
285,ability,"('the', 'ability')",2929.9175420955735
286,ability,"('its', 'ability')",162.20021173734415
287,ability,"('5gb', 'ability')",63.171402390275716
288,ability,"('to', 'ability')",37.736540937297164
382,access,"('access', 'to')",1064.628435429608
383,access,"('to', 'access')",441.4240062996125
384,access,"('internet', 'access')",426.4327304986382
385,access,"('access', 'point')",230.398622311647
386,access,"('can', 'access')",145.85190582464836
721,account,"('an', 'account')",349.4626452700159
722,account,"('checking', 'account')",342.2525571725916
723,account,"('your', 'account')",201.8499400406308
724,account,"('user', 'account')",184.5411953634817
725,account,"('account', 'control')",157.98760569316457
993,accounting program,"('an', 'accounting program')",36.539628935701636
994,accounting program,"('accounting program', 'insofar')",21.008805439105323
995,accounting program,"('mac-based', 'accounting program')",19.962322469779057
996,accounting program,"('encompassing', 'accounting program')",18.77740988061867
997,accounting program,"('hardcore', 'accounting program')",17.07951988291704
1012,accounting software,"('business', 'accounting software')",58.769425630727426
1013,accounting software,"('accounting software', 'for')",37.363482534578495
1014,accounting software,"('accounting software', 'sector')",32.74417167398485
1015,accounting software,"('50', 'accounting software')",29.76925514504162
1016,accounting software,"('best', 'accounting software')",27.640932981850217
1078,acdsee,"('editor', 'acdsee')",12.250721764391798
1079,acdsee,"('using', 'acdsee')",6.915534165311437
1080,acdsee,"('at', 'acdsee')",6.134556509283566
1081,acdsee,"('like', 'acdsee')",6.070900400781996
1082,acdsee,"('acdsee', 'has')",6.049313016295546
1089,ace,"('ace', 'money')",11.495702308797604
1090,ace,"('use', 'ace')",7.572934132751119
1091,ace,"('ace', 'of')",4.655141721229755
1092,acrobat,"('acrobat', 'reader')",54.233812823639425
1093,acrobat,"('acrobat', '9')",42.636810902784056
1094,acrobat,"('acrobat', '8')",30.60844096974192
1095,acrobat,"('acrobat', 'pdf')",25.72620109874677
1096,acrobat,"('with', 'acrobat')",24.6166193198202
1148,acrobate,"('acrobate', '9')",35.92526205301487
1149,acrobate,"('used', 'acrobate')",25.423692770545564
1150,acronis,"('from', 'acronis')",112.62834191853031
1151,acronis,"('acronis', 'has')",60.78322915206025
1152,acronis,"('acronis', 'backup')",46.907533225718495
1153,acronis,"('bless', 'acronis')",36.471870166356474
1154,acronis,"('acronis', 'said')",29.836213945549588
1320,acronis program,"('via', 'acronis program')",29.520660896795533
1321,acronis program,"('acronis program', 'works')",22.410652145972275
1322,acronis program,"('the', 'acronis program')",7.7504950744505114
1323,acronis software,"('by', 'acronis software')",37.88265603432276
1324,acronis software,"('acronis software', 'does')",14.738112152825744
1325,acronis software,"('acronis software', 'suddenly')",14.20322858396687
1326,acronis software,"('used', 'acronis software')",6.2412447173539585
1327,acronis software,"('acronis software', 'also')",6.120739675960191
1332,acronis true image,"('acronis true image', '11')",97.95338828811173
1333,acronis true image,"('acronis true image', 'simply')",43.07561704546894
1334,acronis true image,"('acronis true image', 'v')",34.65355266820619
1335,acronis true image,"('acronis true image', '9.0')",32.54677597309165
1336,acronis true image,"('recommend-', 'acronis true image')",23.028281695801475
1351,acronis true image home,"('acronis true image home', '2012')",13.022342427175287
1352,acronis true image home,"('installed', 'acronis true image home')",9.620029003673661
1353,acronis true image home,"('using', 'acronis true image home')",8.147648843940546
1354,acronis true image home,"('acronis true image home', 'just')",7.532778274007857
1355,acronis true image home,"('acronis true image home', 'is')",4.148424028429283
1356,acronis trueimage,"('use', 'acronis trueimage')",17.22553925036081
1357,acronis trueimage,"('try', 'acronis trueimage')",10.55111837911188
1358,acronis trueimage,"('like', 'acronis trueimage')",7.297217890725497
1359,acronis trueimage,"('acronis trueimage', 'to')",2.8396885073660707
1360,acronis workstation,"('acronis workstation', '...')",13.431393608274346
1361,acronis workstation,"('use', 'acronis workstation')",11.378468261709113
1362,act,"('act', 'together')",166.8137388270519
1363,act,"('except', 'act')",67.06440342384421
1364,act,"('act', 'as')",66.36338682629186
1365,act,"('act', 'like')",55.903365026573645
1366,act,"('its', 'act')",44.83290662453872
1402,action,"('action', 'cam')",84.3062939515551
1403,action,"('action', 'center')",80.37063687224027
1404,action,"('compassionate', 'action')",61.967771887388125
1405,action,"('class', 'action')",60.790373312654474
1406,action,"('into', 'action')",46.39382933014939
1468,activation,"('activation', 'code')",787.6723614682944
1469,activation,"('your', 'activation')",112.56850374770084
1470,activation,"('the', 'activation')",107.96969808174164
1471,activation,"('activation', 'key')",86.06009512489209
1472,activation,"('activation', 'allowances')",70.1279583223646
1574,active care,"('use', 'active care')",22.75716738008155
1575,activex,"('activex', 'controls')",80.45996132104897
1576,activex,"('activex', 'control')",23.71619779407608
1577,activex,"('activex', 'api')",21.18478005459635
1578,activex,"('third-party', 'activex')",15.413224901020595
