,item_group,bigram,pmi
0,10.4.10,"('than', '10.4.10')",7.9212352645254285
1,10.4.10,"('10.4.10', 'was')",6.664080220583227
2,10.4.10,"('with', '10.4.10')",5.873540749846395
3,19dbi panel antenna,"('this', '19dbi panel antenna')",6.889666371516888
4,19dbi panel antenna,"('19dbi panel antenna', 'is')",6.1773277102663435
5,3d,"('3d', 'transparent-bordered')",12.702526488646534
6,3d,"('lightwave', '3d')",12.702526488646534
7,3d,"('3d', 'audocad')",12.702526488646534
8,3d,"('3d', 'editing/production')",12.702526488646534
9,3d,"('55-inch', '3d')",12.702526488646534
263,3d game,"('3d game', 'will')",8.451034807766238
264,3d game,"('of', '3d game')",6.069559756477961
265,3d program,"('old', '3d program')",9.569481552905366
266,3d program,"('3d program', 'available')",9.041743920877162
267,3d program,"('3d program', 'or')",5.962926521689852
268,3d program,"('a', '3d program')",3.5359012322422068
269,3d program,"('the', '3d program')",2.740378003490587
270,7-zip,"('include', '7-zip')",8.572060097007144
271,7-zip,"('7-zip', 'open')",7.559532999130981
272,7-zip,"('like', '7-zip')",7.118333253653056
273,7-zip,"('7-zip', 'even')",5.716008612720737
274,7-zip,"('7-zip', 'can')",4.230554202932538
280,aarp,"('aarp', ""'s"")",7.666374400983807
281,aarp,"('like', 'aarp')",7.496844876906792
282,aarp,"('on', 'aarp')",6.197424951788939
283,abbyy,"('like', 'abbyy')",8.496844876906792
284,ability,"('adaptive', 'ability')",11.607770037629741
285,ability,"('*an', 'ability')",11.607770037629741
286,ability,"('cleanup/removal', 'ability')",11.607770037629741
287,ability,"('7s', 'ability')",11.022807536908582
288,ability,"('vaunted', 'ability')",10.607770037629738
382,access,"(""'universal"", 'access')",11.242067918934275
383,access,"('access', '2000/2003')",11.242067918934275
384,access,"('access', '2000/97')",11.242067918934275
385,access,"('limited-time', 'access')",11.242067918934275
386,access,"('pop3/imap', 'access')",11.242067918934271
721,account,"('live/hotmail', 'account')",11.543946460798232
722,account,"('barter', 'account')",11.54394646079823
723,account,"('citibank', 'account')",11.54394646079823
724,account,"('nonadministrative', 'account')",11.54394646079823
725,account,"('lynch', 'account')",11.54394646079823
993,accounting program,"('accounting program', 'insofar')",16.11380206912918
994,accounting program,"('mac-based', 'accounting program')",15.52883956840802
995,accounting program,"('encompassing', 'accounting program')",14.791873974241817
996,accounting program,"('hardcore', 'accounting program')",13.654370450491882
997,accounting program,"('set-up', 'accounting program')",11.791873974241815
1012,accounting software,"('accounting software', 'sector')",13.0357995571279
1013,accounting software,"('functional', 'accounting software')",9.024572301704646
1014,accounting software,"('accounting software', 'competing')",8.906516540182938
1015,accounting software,"('50', 'accounting software')",8.560066126161507
1016,accounting software,"('reliable', 'accounting software')",8.301089936902063
1078,acdsee,"('editor', 'acdsee')",10.16803311837448
1079,acdsee,"('using', 'acdsee')",6.307073452721042
1080,acdsee,"('at', 'acdsee')",5.736169759745987
1081,acdsee,"('like', 'acdsee')",5.689489954849188
1082,acdsee,"('acdsee', 'has')",5.673653852530707
1089,ace,"('ace', 'money')",9.460359830525254
1090,ace,"('use', 'ace')",6.622784107434047
1091,ace,"('ace', 'of')",4.484597255756803
1092,acrobat,"('acrobat', 'tended')",13.079155926322287
1093,acrobat,"('======', 'acrobat')",11.40108402120965
1094,acrobat,"('acrobat', 'reader')",11.134297480514745
1095,acrobat,"('lighter', 'acrobat')",10.877522065152636
1096,acrobat,"('dump', 'acrobat')",10.700644303068557
1148,acrobate,"('acrobate', '9')",12.95281019245687
1149,acrobate,"('used', 'acrobate')",9.16933401570418
1150,acronis,"('intergrating', 'acronis')",13.149300750350564
1151,acronis,"('bless', 'acronis')",13.14930075035056
1152,acronis,"('acronis', 'representatives')",11.827372655463199
1153,acronis,"('acronis', 'web-site')",10.34194582829296
1154,acronis,"('acronis', 'altered')",10.341945828292957
1320,acronis program,"('via', 'acronis program')",11.64348213434914
1321,acronis program,"('acronis program', 'works')",9.08099102732132
1322,acronis program,"('the', 'acronis program')",3.7403780034905836
1323,acronis software,"('acronis software', 'suddenly')",11.604246971066045
1324,acronis software,"('by', 'acronis software')",7.932856932361714
1325,acronis software,"('acronis software', 'does')",6.591111568876908
1326,acronis software,"('used', 'acronis software')",5.84740592081682
1327,acronis software,"('acronis software', 'also')",5.7590629324339595
1332,acronis true image,"('recommend-', 'acronis true image')",16.583287352430396
1333,acronis true image,"('acronis true image', 'v')",13.77593243037279
1334,acronis true image,"('acronis true image', '9.0')",13.059725396373382
1335,acronis true image,"('acronis true image', '11')",11.303179433237666
1336,acronis true image,"('acronis true image', '2014')",9.115681802347396
1351,acronis true image home,"('acronis true image home', '2012')",10.63626864411657
1352,acronis true image home,"('installed', 'acronis true image home')",8.180439262159467
1353,acronis true image home,"('using', 'acronis true image home')",7.114428374778646
1354,acronis true image home,"('acronis true image home', 'just')",6.6680974336033945
1355,acronis true image home,"('acronis true image home', 'is')",4.177327710266347
1356,acronis trueimage,"('try', 'acronis trueimage')",8.853274518905957
1357,acronis trueimage,"('use', 'acronis trueimage')",7.207746608155201
1358,acronis trueimage,"('like', 'acronis trueimage')",6.496844876906792
1359,acronis trueimage,"('acronis trueimage', 'to')",3.1717356247066135
1360,acronis workstation,"('acronis workstation', '...')",9.688469589122453
1361,acronis workstation,"('use', 'acronis workstation')",8.207746608155203
1362,act,"('act', 'provisions')",13.079155926322287
1363,act,"('act', 'unusually')",12.593729099152045
1364,act,"('balancing', 'act')",12.494193425601127
1365,act,"('permit', 'act')",11.816121520488494
1366,act,"('hated', 'act')",10.568194007044903
1402,action,"('action', 'contraptions')",14.874336134433788
1403,action,"('player-controlled', 'action')",14.874336134433788
1404,action,"('compassionate', 'action')",14.874336134433786
1405,action,"('action', 'lawsuit')",13.874336134433788
1406,action,"('corrective', 'action')",13.874336134433788
1468,activation,"('activation', 'code/product')",13.535534220982031
1469,activation,"('activation', 'technolgy')",13.535534220982031
1470,activation,"('activation', 'allowances')",13.213606126094664
1471,activation,"('-poor', 'activation')",12.95057172026087
1472,activation,"('microsft', 'activation')",12.535534220982031
1574,active care,"('use', 'active care')",8.2077466081552
1575,activex,"('activex', 'api')",16.37683647496297
1576,activex,"('activex', 'controls')",12.590240113072161
