,item_group,bigram,tscore
0,10.4.10,"('than', '10.4.10')",0.995874557078942
1,10.4.10,"('10.4.10', 'was')",0.9901392043206689
2,10.4.10,"('with', '10.4.10')",0.9829435732477639
3,19dbi panel antenna,"('this', '19dbi panel antenna')",2.217210275685029
4,19dbi panel antenna,"('19dbi panel antenna', 'is')",2.2051704257479323
5,3d,"('3d', 'video')",4.81314219849178
6,3d,"('a', '3d')",3.9700431450991958
7,3d,"('in', '3d')",3.9516888207769134
8,3d,"('3d', 'glasses')",3.7405347157344297
9,3d,"('3d', 'modeling')",3.315629648840247
263,3d game,"('3d game', 'will')",0.9971425079653324
264,3d game,"('of', '3d game')",0.985110488386322
265,3d program,"('old', '3d program')",1.412352272529952
266,3d program,"('3d program', 'available')",0.998102578284314
267,3d program,"('3d program', 'or')",0.983968274983568
268,3d program,"('a', '3d program')",0.9137840401921238
269,3d program,"('the', '3d program')",0.8503543760169656
270,7-zip,"('like', '7-zip')",2.219974378582708
271,7-zip,"('include', '7-zip')",0.997372439126998
272,7-zip,"('7-zip', 'open')",0.9946990487038855
273,7-zip,"('7-zip', 'even')",0.980975644531908
274,7-zip,"('7-zip', 'can')",0.9467307862548954
280,aarp,"('aarp', ""'s"")",1.407252005986554
281,aarp,"('like', 'aarp')",0.994463633664429
282,aarp,"('on', 'aarp')",0.986373347100478
283,abbyy,"('like', 'abbyy')",0.9972318168322145
284,ability,"('ability', 'to')",25.910072069941627
285,ability,"('the', 'ability')",23.030029376750427
286,ability,"('its', 'ability')",5.335422703987932
287,ability,"(""'s"", 'ability')",3.571748048536116
288,ability,"('your', 'ability')",2.928814241607715
382,access,"('access', 'to')",16.375496867617713
383,access,"('to', 'access')",11.911353115508485
384,access,"('internet', 'access')",7.293072976870541
385,access,"('access', 'the')",6.331450380641449
386,access,"('can', 'access')",6.304823141437053
721,account,"('an', 'account')",8.232614468847135
722,account,"('your', 'account')",6.843447645851255
723,account,"('account', 'and')",6.073193073461929
724,account,"('user', 'account')",5.751684846587211
725,account,"('checking', 'account')",5.645783106390784
993,accounting program,"('an', 'accounting program')",2.211019203715338
994,accounting program,"('other', 'accounting program')",1.3886673592759584
995,accounting program,"('accounting program', 'that')",1.2729316920829592
996,accounting program,"('accounting program', 'insofar')",0.999985898599966
